geoid,over_65,total
12119911402,6322,7964
12119911204,5475,6326
12111382126,3963,7201
06065043812,3589,3878
45013002110,3508,3996
04013040507,3476,3807
12119911206,3382,3705
12083002605,3315,3885
12119910300,3302,4855
12119911207,3281,3380
45057011209,3242,4182
12069030409,3122,3521
04013061018,3083,3281
12119911401,3076,3488
37019020304,3068,4751
04013040506,3043,3445
04013040528,3042,3387
04013817300,2989,3251
06059099510,2982,3207
12011010403,2899,3277
04013040516,2898,4315
06095253501,2811,3676
04013071503,2803,3097
12119911704,2799,3104
17089850704,2793,3240
17111871501,2751,3609
04013071505,2748,3816
12011110355,2745,3521
12011020417,2740,3172
12011110354,2717,3360
12015010405,2716,3582
12109020605,2697,6924
12115002734,2683,4021
12083002610,2654,2912
12119911702,2598,2989
12119911203,2578,2838
12021011108,2569,3589
12069031105,2536,3241
12119911201,2529,2757
04013040522,2478,2686
12057014011,2466,2734
34029716000,2464,2904
04021000316,2458,3627
12081001908,2458,3625
12105012513,2452,2998
12111382122,2444,3003
06061023600,2442,2569
45013002109,2442,2510
12057013913,2427,5155
36061004400,2424,8336
06059062622,2392,2923
12115002716,2377,3607
12099005947,2375,2484
12119911703,2359,2803
34023008206,2358,2674
04021000604,2353,2570
34029731201,2343,2933
37019020205,2341,3982
48029172002,2339,9702
34029731202,2329,2877
36061018100,2328,4256
12069030203,2325,4379
12011030705,2316,2655
12105014401,2313,3789
25009210301,2308,3083
04013071801,2293,2919
48491020118,2283,2518
04013617400,2279,3605
12083001007,2277,3268
08031007091,2272,2716
48491020116,2271,2451
34003019305,2219,3737
24031703219,2201,2300
53027000201,2198,3685
04013071506,2192,2479
04021000603,2173,3001
12069031308,2172,3069
48157674702,2164,5918
12017450703,2153,2593
12119910800,2146,2511
06059099509,2133,2309
34023008205,2128,2426
36061006600,2111,6746
34029720102,2107,2647
12099005926,2106,2533
12115002014,2099,3294
12015030505,2095,2756
04019004328,2092,2157
12099005945,2087,2262
48121021535,2083,2240
45003021205,2082,3079
06065044919,2080,2571
12035060301,2079,3072
06111005304,2071,3002
34023008204,2070,2705
36061016200,2058,4617
32003005716,2056,2463
34029731204,2053,2267
12015020101,2045,3842
48121020310,2045,2557
12119911202,2042,2102
24003751600,2038,2667
12061050811,2029,3084
45051051608,2021,2603
32003005904,2016,2306
45013002201,2013,3349
06059062646,2012,2413
12127083209,2010,3646
36061013900,2007,6383
47105060504,2004,2395
49053271600,2000,3015
06065042711,1993,2377
36061000600,1991,5243
36061019100,1989,4258
12099005955,1983,2476
12011060211,1982,2659
36081099704,1981,3666
12115001203,1978,2591
04007000500,1976,3007
47035970101,1976,2489
36061014602,1974,5037
06085503332,1973,2839
36047105801,1973,3493
36005046203,1972,3164
12015030501,1971,2962
04025000613,1969,3900
12009064128,1968,5055
34023008214,1964,4042
24005411413,1961,2114
12085001108,1960,2589
51153901504,1960,2578
45053950201,1957,3984
25023530700,1953,3294
36047035400,1950,2845
36081088400,1946,3268
41047010307,1946,2890
12127080102,1940,2881
34029715902,1929,2721
12035060211,1925,3266
12069030506,1913,2521
06061023700,1912,2090
04013422607,1908,2239
12115002732,1908,2396
12103027404,1904,3734
06059062648,1897,2045
17097864110,1894,2788
12127090306,1893,3821
48157673202,1882,10466
06013351101,1881,1907
04013216821,1869,2878
12069030411,1866,3361
45051040103,1865,3101
34029720206,1864,2808
04013422639,1863,2311
06061021040,1861,2029
08005081500,1859,2165
06065051401,1855,1899
12111381603,1849,2970
04021000201,1847,3246
24005400100,1847,2350
12009071201,1846,4136
06059032037,1844,2492
12083002609,1843,2007
12021011003,1841,2160
12021010102,1840,2931
04013040529,1836,1997
34029734005,1835,2259
04013071504,1834,2029
12115001403,1833,3130
12101031601,1832,3535
32003005846,1825,2814
45015020711,1825,5922
04013071702,1821,2084
12115002714,1821,2874
48471790302,1818,3666
32003003211,1816,1970
34013021601,1811,3003
12055960602,1809,2878
12101032905,1809,2673
36061017500,1809,4450
34001011404,1808,4150
12115002302,1805,2381
12053040802,1804,2385
12115002726,1804,2653
34027040301,1804,2434
48221160210,1804,2725
45051051000,1802,3817
12071050305,1801,2087
12021010434,1798,3080
22103040401,1798,3526
12083001008,1795,2339
12071050324,1793,2087
12057014008,1792,1932
36061012102,1786,3237
04013813800,1776,1945
12017451606,1774,2424
12083000811,1773,2173
12011110334,1772,2262
12009071700,1771,3039
12105012803,1771,2400
06071009718,1769,2128
32023960409,1769,2676
12127083207,1768,4207
34029720202,1767,2338
12081002016,1765,2628
24031703216,1765,2231
04019004643,1764,2011
04013071802,1757,1988
06073020019,1754,2945
12099007774,1753,3107
12099007754,1750,2147
